Дата,ЗаявкаID,ТипКредита,Сумма,Доход,Скоринг,ВремяОбработки,Одобрено,Имя,Телефон,Цель
2024-12-05,1,Автокредит,850000,90000,98.5,5,1,Иван Петров,+79001234567,"Покупка авто"
2024-12-04,2,Потребительский,400000,50000,54.0,3,0,Мария Иванова,+79102345678,"Ремонт квартиры"
2024-12-04,3,Ипотека,3000000,150000,180.0,8,1,Алексей Смирнов,+79203456789,"Покупка жилья"
2024-12-03,4,Автокредит,700000,80000,87.0,2,1,Елена Кузнецова,+79304567890,"Новый автомобиль"
2024-12-03,5,Потребительский,250000,45000,47.5,4,0,Дмитрий Федоров,+79405678901,"Путешествие"
2024-12-02,6,Ипотека,3500000,120000,230.0,9,1,Наталья Волкова,+79506789012,"Купить квартиру"
2024-12-02,7,Автокредит,600000,75000,81.0,3,1,Сергей Николаев,+79607890123,"Авто в кредит"
2024-12-01,8,Потребительский,300000,60000,63.0,5,0,Анна Морозова,+79708901234,"Покупка техники"
2024-12-01,9,Ипотека,4000000,140000,240.0,7,1,Владимир Соколов,+79809012345,"Жильё"
2024-12-01,10,Автокредит,900000,100000,100.0,2,1,Ольга Лебедева,+79900123456,"Новый внедорожник"
2024-11-30,11,Потребительский,500000,70000,75.0,4,1,Артём Зайцев,+79011234567,"Покупка мебели"
2024-11-30,12,Ипотека,2800000,130000,162.0,8,1,Екатерина Тихомирова,+79122345678,"Первичное жильё"
2024-11-29,13,Автокредит,650000,72000,78.2,3,1,Игорь Крыжнев,+79233456789,"BMW X5"
2024-11-29,14,Потребительский,200000,40000,42.0,5,0,Нина Попова,+79344567890,"Праздник"
2024-11-28,15,Ипотека,3200000,110000,202.0,9,1,Александр Беляев,+79455678901,"Дом за городом"
2024-11-28,16,Автокредит,750000,85000,92.5,2,1,Юлия Селезнева,+79566789012,"Kia Rio"
2024-11-27,17,Потребительский,350000,65000,69.5,4,0,Василий Андреев,+79677890123,"Строительство бани"
2024-11-27,18,Ипотека,4500000,180000,270.0,10,1,Антонина Романова,+79788901234,"Квартира в новостройке"
2024-11-26,19,Автокредит,1000000,110000,121.0,3,1,Геннадий Орлов,+79899012345,"Land Cruiser"
2024-11-26,20,Потребительский,200000,35000,37.0,6,0,Любовь Карпова,+79900123456,"Учеба"
2024-11-25,21,Ипотека,2500000,100000,150.0,7,1,Валерий Сидоров,+79011234567,"Вторичное жильё"
2024-11-25,22,Автокредит,800000,95000,99.5,2,1,Татьяна Ларионова,+79122345678,"Toyota Camry"
2024-11-24,23,Потребительский,300000,55000,63.0,5,0,Николай Козлов,+79233456789,"Свадьба"
2024-11-24,24,Ипотека,3800000,160000,242.0,9,1,Анастасия Воробьева,+79344567890,"Квартира в ипотеку"
2024-11-23,25,Автокредит,950000,105000,116.0,3,1,Борис Михайлов,+79455678901,"Ford Focus"
2024-11-23,26,Потребительский,250000,48000,49.8,4,0,Елизавета Одинцова,+79566789012,"Косметический ремонт"
2024-11-22,27,Ипотека,3000000,125000,185.0,8,1,Максим Громов,+79677890123,"Квартира у метро"
2024-11-22,28,Автокредит,650000,70000,79.0,2,1,Вера Демидова,+79788901234,"Skoda Octavia"
2024-11-21,29,Потребительский,150000,40000,41.0,5,0,Роман Котов,+79899012345,"Подарок жене"
2024-11-21,30,Ипотека,4200000,140000,262.0,10,1,Елена Васильева,+79900123456,"Частный дом"
2024-11-20,31,Автокредит,700000,80000,88.0,3,1,Сергеевич Дмитрий,+79011234567,"Lada Granta"
2024-11-20,32,Потребительский,300000,60000,66.0,4,0,Анна Алексеева,+79122345678,"Покупка телефона"
2024-11-19,33,Ипотека,3500000,130000,230.0,9,1,Олег Смирнов,+79233456789,"Квартира в центре"
2024-11-19,34,Автокредит,850000,90000,98.5,2,1,Маргарита Калинина,+79344567890,"Hyundai Tucson"
2024-11-18,35,Потребительский,400000,65000,71.5,5,1,Владислав Петров,+79455678901,"Бытовая техника"
2024-11-18,36,Ипотека,2900000,120000,170.0,8,1,Алина Зверева,+79566789012,"Новостройка"
2024-11-17,37,Автокредит,750000,85000,92.5,3,1,Михаил Белов,+79677890123,"Renault Logan"
2024-11-17,38,Потребительский,200000,38000,39.8,4,0,Анастасия Горина,+79788901234,"Кредит на отдых"
2024-11-16,39,Ипотека,3100000,110000,191.0,9,1,Артемий Лебедев,+79899012345,"Квартира в ипотеку"
2024-11-16,40,Автокредит,600000,70000,76.0,2,1,Ирина Соколова,+79900123456,"Новый автомобиль"
